order_id,created_at,order_value,items_count,estimated_prep_time,estimated_delivery_time,customer_lat,customer_lon,order_status,restaurant_id,weather_level,traffic_level
1,2026-01-17 12:31:24,80.13,6,17,21,43.275816,-2.914033,DELIVERED,39,RAIN,MEDIUM
2,2026-01-05 12:24:54,60.95,6,20,22,43.274594,-2.953613,DELIVERED,26,CLEAR,MEDIUM
3,2026-01-09 23:42:54,60.08,4,22,16,43.229625,-2.950303,DELIVERED,48,CLEAR,MEDIUM
4,2026-01-24 19:54:54,70.73,5,14,14,43.247773,-2.899567,DELIVERED,1,CLEAR,LOW
5,2026-01-31 13:21:26,34.68,2,24,37,43.279074,-2.965174,DELIVERED,10,RAIN,HIGH
6,2026-01-03 22:10:24,13.69,1,27,18,43.215653,-2.945063,DELIVERED,48,WIND,MEDIUM
7,2026-01-23 00:59:05,33.29,3,9,26,43.214899,-2.96078,DELIVERED,15,RAIN,MEDIUM
8,2026-01-15 22:23:37,27.43,3,18,28,43.208044,-2.985615,DELIVERED,37,CLEAR,HIGH
9,2026-01-13 03:41:59,65.61,6,14,32,43.275627,-2.938245,CANCELLED,15,RAIN,MEDIUM
10,2026-01-27 16:54:32,58.18,3,25,18,43.200115,-2.89437,DELIVERED,6,CLEAR,LOW
11,2026-01-03 12:07:55,39.59,2,19,13,43.231075,-2.988496,DELIVERED,36,WIND,LOW
12,2026-01-25 15:33:26,44.64,3,19,27,43.234512,-2.929289,DELIVERED,1,RAIN,MEDIUM
13,2026-01-12 14:13:43,43.64,4,23,27,43.265202,-2.973268,DELIVERED,15,CLEAR,HIGH
14,2026-01-22 08:59:38,13.24,1,11,18,43.226502,-2.921441,DELIVERED,30,RAIN,LOW
15,2026-01-26 21:42:54,58.98,6,17,30,43.274677,-2.942263,DELIVERED,21,RAIN,HIGH
16,2026-01-05 21:05:57,40.37,3,25,23,43.241205,-2.915002,DELIVERED,45,WIND,MEDIUM
17,2026-01-07 22:44:39,35.19,3,21,30,43.244173,-2.951988,DELIVERED,41,CLEAR,HIGH
18,2026-01-15 15:59:50,56.87,4,19,14,43.283004,-2.946461,CANCELLED,25,CLEAR,LOW
19,2026-01-02 14:52:20,23.98,2,19,16,43.291349,-2.898648,DELIVERED,47,CLEAR,MEDIUM
20,2026-01-20 03:42:45,15.38,1,18,20,43.223382,-2.987247,DELIVERED,35,CLEAR,MEDIUM
