restaurant_id,restaurant_name,cuisine_category,base_prep_time,capacity,restaurant_zone,restaurant_lat,restaurant_lon
1,ASIAN_PLACE_1,ASIAN,16,10,SUR,43.224489,-2.974651
2,ITALIAN_PLACE_2,ITALIAN,25,33,WEST,43.208694,-2.943589
3,ITALIAN_PLACE_3,ITALIAN,16,16,NORTE,43.250536,-2.987081
4,BURGER_PLACE_4,BURGER,18,23,NORTE,43.244921,-2.959399
5,ITALIAN_PLACE_5,ITALIAN,17,32,EAST,43.234025,-2.972897
6,SUSHI_PLACE_6,SUSHI,21,12,EAST,43.209672,-2.896776
7,KEBAB_PLACE_7,KEBAB,12,35,CENTRO,43.272973,-2.931015
8,HEALTHY_PLACE_8,HEALTHY,13,27,SUR,43.28294,-2.921963
9,SUSHI_PLACE_9,SUSHI,29,16,CENTRO,43.204582,-2.964931
10,SUSHI_PLACE_10,SUSHI,21,37,NORTE,43.286648,-2.948186
11,HEALTHY_PLACE_11,HEALTHY,17,15,SUR,43.235527,-2.916281
12,ASIAN_PLACE_12,ASIAN,25,30,CENTRO,43.260913,-2.971175
13,ASIAN_PLACE_13,ASIAN,18,15,EAST,43.237946,-2.881152
14,ASIAN_PLACE_14,ASIAN,23,17,SUR,43.284285,-2.90464
15,BURGER_PLACE_15,BURGER,10,35,SUR,43.240116,-2.982719
16,KEBAB_PLACE_16,KEBAB,13,16,EAST,43.239563,-2.8894
17,HEALTHY_PLACE_17,HEALTHY,14,18,NORTE,43.224663,-2.92825
18,SUSHI_PLACE_18,SUSHI,29,23,WEST,43.23994,-2.965875
19,BURGER_PLACE_19,BURGER,18,25,CENTRO,43.275578,-2.895279
20,BURGER_PLACE_20,BURGER,12,35,EAST,43.259641,-2.947676
21,KEBAB_PLACE_21,KEBAB,15,26,SUR,43.297108,-2.895314
22,ITALIAN_PLACE_22,ITALIAN,25,33,CENTRO,43.268171,-2.930933
23,SUSHI_PLACE_23,SUSHI,30,20,CENTRO,43.22935,-2.972603
24,ITALIAN_PLACE_24,ITALIAN,19,26,NORTE,43.250768,-2.978295
25,ASIAN_PLACE_25,ASIAN,19,36,WEST,43.260897,-2.973188
26,BURGER_PLACE_26,BURGER,18,40,WEST,43.291849,-2.924116
27,HEALTHY_PLACE_27,HEALTHY,12,13,SUR,43.287872,-2.898517
28,SUSHI_PLACE_28,SUSHI,23,11,NORTE,43.287801,-2.885836
29,ITALIAN_PLACE_29,ITALIAN,22,36,CENTRO,43.297798,-2.931402
30,BURGER_PLACE_30,BURGER,12,31,EAST,43.294685,-2.971836
31,KEBAB_PLACE_31,KEBAB,14,40,NORTE,43.292891,-2.906921
32,ASIAN_PLACE_32,ASIAN,18,32,SUR,43.239899,-2.916114
33,SUSHI_PLACE_33,SUSHI,27,38,WEST,43.245149,-2.96273
34,ITALIAN_PLACE_34,ITALIAN,20,10,WEST,43.255392,-2.925272
35,ITALIAN_PLACE_35,ITALIAN,16,32,CENTRO,43.222894,-2.890404
36,SUSHI_PLACE_36,SUSHI,21,26,NORTE,43.227848,-2.936604
37,KEBAB_PLACE_37,KEBAB,10,33,WEST,43.257621,-2.96327
38,HEALTHY_PLACE_38,HEALTHY,18,16,CENTRO,43.209693,-2.942584
39,HEALTHY_PLACE_39,HEALTHY,18,24,CENTRO,43.267336,-2.881742
40,ITALIAN_PLACE_40,ITALIAN,15,22,SUR,43.280059,-2.97798
41,BURGER_PLACE_41,BURGER,13,27,EAST,43.214018,-2.969816
42,HEALTHY_PLACE_42,HEALTHY,15,37,CENTRO,43.244313,-2.895252
43,KEBAB_PLACE_43,KEBAB,9,11,WEST,43.283603,-2.88341
44,BURGER_PLACE_44,BURGER,12,23,EAST,43.248136,-2.894888
45,ITALIAN_PLACE_45,ITALIAN,17,22,CENTRO,43.298531,-2.960828
46,HEALTHY_PLACE_46,HEALTHY,16,23,WEST,43.266187,-2.936466
47,BURGER_PLACE_47,BURGER,14,16,CENTRO,43.257918,-2.930359
48,ASIAN_PLACE_48,ASIAN,20,11,CENTRO,43.258418,-2.934686
49,KEBAB_PLACE_49,KEBAB,10,11,WEST,43.208011,-2.969559
50,KEBAB_PLACE_50,KEBAB,9,31,NORTE,43.240378,-2.886424
