rider_id,rider_name,home_zone,vehicle_type,max_orders_per_hour
1,RIDER_1,WEST,BIKE,2
2,RIDER_2,WEST,BIKE,5
3,RIDER_3,WEST,MOTO,4
4,RIDER_4,NORTE,MOTO,3
5,RIDER_5,SUR,MOTO,3
6,RIDER_6,SUR,MOTO,4
7,RIDER_7,CENTRO,BIKE,5
8,RIDER_8,WEST,BIKE,2
9,RIDER_9,WEST,BIKE,4
10,RIDER_10,NORTE,MOTO,2
11,RIDER_11,NORTE,MOTO,4
12,RIDER_12,NORTE,MOTO,4
13,RIDER_13,WEST,BIKE,4
14,RIDER_14,CENTRO,BIKE,4
15,RIDER_15,CENTRO,BIKE,3
16,RIDER_16,SUR,MOTO,3
17,RIDER_17,SUR,BIKE,4
18,RIDER_18,WEST,MOTO,4
19,RIDER_19,CENTRO,BIKE,5
20,RIDER_20,SUR,BIKE,2
21,RIDER_21,SUR,BIKE,4
22,RIDER_22,NORTE,MOTO,5
23,RIDER_23,WEST,BIKE,2
24,RIDER_24,CENTRO,BIKE,2
25,RIDER_25,SUR,BIKE,5
26,RIDER_26,NORTE,BIKE,4
27,RIDER_27,SUR,BIKE,4
28,RIDER_28,NORTE,BIKE,2
29,RIDER_29,SUR,MOTO,3
30,RIDER_30,NORTE,BIKE,3
31,RIDER_31,EAST,BIKE,3
32,RIDER_32,SUR,MOTO,3
33,RIDER_33,SUR,BIKE,2
34,RIDER_34,EAST,BIKE,5
35,RIDER_35,NORTE,BIKE,5
36,RIDER_36,SUR,MOTO,3
37,RIDER_37,NORTE,BIKE,3
38,RIDER_38,EAST,MOTO,4
39,RIDER_39,CENTRO,MOTO,4
40,RIDER_40,WEST,MOTO,4
41,RIDER_41,CENTRO,BIKE,4
42,RIDER_42,NORTE,MOTO,2
43,RIDER_43,CENTRO,MOTO,4
44,RIDER_44,SUR,MOTO,2
45,RIDER_45,EAST,BIKE,4
46,RIDER_46,CENTRO,MOTO,2
47,RIDER_47,WEST,BIKE,4
48,RIDER_48,EAST,BIKE,4
49,RIDER_49,WEST,MOTO,2
50,RIDER_50,SUR,MOTO,5
51,RIDER_51,SUR,MOTO,4
52,RIDER_52,WEST,BIKE,3
53,RIDER_53,EAST,MOTO,3
54,RIDER_54,WEST,MOTO,5
55,RIDER_55,WEST,BIKE,4
56,RIDER_56,SUR,BIKE,5
57,RIDER_57,WEST,MOTO,5
58,RIDER_58,EAST,MOTO,3
59,RIDER_59,WEST,MOTO,3
60,RIDER_60,CENTRO,MOTO,4
61,RIDER_61,CENTRO,BIKE,4
62,RIDER_62,NORTE,BIKE,3
63,RIDER_63,CENTRO,BIKE,3
64,RIDER_64,EAST,BIKE,5
65,RIDER_65,EAST,BIKE,5
66,RIDER_66,EAST,MOTO,3
67,RIDER_67,NORTE,BIKE,2
68,RIDER_68,EAST,BIKE,3
69,RIDER_69,WEST,MOTO,2
70,RIDER_70,WEST,BIKE,2
71,RIDER_71,EAST,BIKE,5
72,RIDER_72,WEST,MOTO,5
73,RIDER_73,WEST,MOTO,5
74,RIDER_74,NORTE,MOTO,5
75,RIDER_75,SUR,BIKE,4
76,RIDER_76,WEST,MOTO,3
77,RIDER_77,SUR,MOTO,2
78,RIDER_78,SUR,BIKE,4
79,RIDER_79,SUR,MOTO,2
80,RIDER_80,NORTE,BIKE,3
81,RIDER_81,EAST,BIKE,3
82,RIDER_82,CENTRO,MOTO,5
83,RIDER_83,SUR,MOTO,5
84,RIDER_84,CENTRO,BIKE,5
85,RIDER_85,EAST,BIKE,5
86,RIDER_86,EAST,BIKE,4
87,RIDER_87,SUR,MOTO,5
88,RIDER_88,WEST,BIKE,5
89,RIDER_89,NORTE,MOTO,5
90,RIDER_90,EAST,BIKE,5
91,RIDER_91,SUR,MOTO,3
92,RIDER_92,EAST,BIKE,2
93,RIDER_93,EAST,BIKE,2
94,RIDER_94,EAST,BIKE,5
95,RIDER_95,NORTE,BIKE,4
96,RIDER_96,EAST,MOTO,3
97,RIDER_97,EAST,MOTO,4
98,RIDER_98,EAST,MOTO,5
99,RIDER_99,SUR,BIKE,5
100,RIDER_100,CENTRO,BIKE,4
101,RIDER_101,NORTE,BIKE,2
102,RIDER_102,CENTRO,BIKE,3
103,RIDER_103,CENTRO,BIKE,3
104,RIDER_104,NORTE,MOTO,2
105,RIDER_105,WEST,BIKE,5
106,RIDER_106,SUR,MOTO,3
107,RIDER_107,WEST,BIKE,3
108,RIDER_108,SUR,BIKE,2
109,RIDER_109,SUR,MOTO,5
110,RIDER_110,NORTE,BIKE,3
111,RIDER_111,CENTRO,MOTO,2
112,RIDER_112,WEST,BIKE,4
113,RIDER_113,WEST,MOTO,4
114,RIDER_114,CENTRO,MOTO,2
115,RIDER_115,EAST,MOTO,2
116,RIDER_116,EAST,MOTO,5
117,RIDER_117,NORTE,MOTO,3
118,RIDER_118,WEST,MOTO,5
119,RIDER_119,EAST,MOTO,4
120,RIDER_120,SUR,BIKE,2
