event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-02 02:49:24+00:00,view,1500208,2053013552955916539,computers.peripherals.printer,xerox,94.98,517567639.0,69e6455e-60ba-45aa-8adf-e2f8368b38e2
2019-10-03 09:22:26+00:00,view,26402505,2053013563651392361,,,950.73,515486711.0,530fd038-f953-4642-ae76-899927504bcc
2019-10-02 18:06:36+00:00,view,3801361,2053013566176363511,appliances.iron,tefal,84.69,512990124.0,7383f94e-d0a2-48d8-9ced-f73c4b16db45
2019-10-03 16:12:48+00:00,view,11600016,2053013554566529381,computers.desktop,microlab,179.12,518802500.0,f18c0549-4e6b-4058-a75f-50ef19ea9340
2019-10-01 06:38:24+00:00,view,17400231,2053013558727279193,,,3.09,519078297.0,aeceaca3-8b2b-4540-9a34-98cc9ff37f4e
2019-10-03 17:02:13+00:00,view,28717980,2053013565639492569,apparel.shoes,rieker,71.82,545307512.0,93a88736-3636-4ebf-bd41-33f4ed22f442
2019-10-02 14:42:59+00:00,view,1005105,2053013555631882655,electronics.smartphone,apple,1415.48,513463617.0,834262d7-9b4d-4726-83f5-e1014a0e8fed
2019-10-02 15:21:53+00:00,view,1005179,2053013555631882655,electronics.smartphone,,900.64,513911405.0,e9724429-c4fa-4610-8cc7-e0346500c405
2019-10-01 12:03:02+00:00,view,3800548,2053013566176363511,appliances.iron,vitek,28.29,532696325.0,53d7e5d3-38c0-40f7-8858-e415cd12aa54
2019-10-03 16:54:45+00:00,view,31501032,2053013558031024687,,luminarc,158.56,542401976.0,165ee42e-bd88-4d7e-92a3-c2b33a5967e5
2019-10-02 14:30:48+00:00,view,1003718,2053013555631882655,electronics.smartphone,samsung,1006.52,546355176.0,509deab0-941b-4789-bb8b-5940a41e5728
2019-10-02 16:32:06+00:00,view,28600026,2053013558282682943,,,399.73,527060243.0,ac39c871-aa11-45ce-abee-8084bc6d1cb0
2019-10-02 11:14:03+00:00,view,2800007,2053013563835941749,appliances.kitchen.refrigerators,atlant,257.15,513382450.0,ee174766-3fdc-43f0-83b8-c70831a78b19
2019-10-03 04:53:29+00:00,view,26300079,2053013563584283495,,lucente,331.28,513719495.0,b03644b8-9a7e-4296-938c-e69a92c6370b
2019-10-03 03:18:40+00:00,view,17200855,2053013559792632471,furniture.living_room.sofa,,463.31,512975701.0,e4d4d6ae-ebad-4c25-9436-62f6b601df96
2019-10-03 06:15:05+00:00,view,5700119,2053013553970938175,auto.accessories.player,alpine,136.42,513286307.0,ab18269b-a3de-4679-a004-260876df5018
2019-10-03 09:27:26+00:00,view,16300039,2053013558131687989,,berghoff,69.65,515129452.0,aa2bc733-14cc-4430-b576-9a5ec00fe646
2019-10-03 06:37:14+00:00,view,21401452,2053013561579406073,electronics.clocks,casio,157.02,493366281.0,1879c170-2322-4bbd-9efc-00f9fdf252c8
2019-10-02 22:07:02+00:00,view,5800704,2053013553945772349,electronics.audio.subwoofer,sonda,25.74,514876069.0,993b5469-2fa3-492e-8a4a-944d4d7c35f6
2019-10-02 19:31:37+00:00,view,21409923,2053013561579406073,electronics.clocks,,270.79,541447600.0,154da125-4bb8-56f4-1bb4-5e6221e9c6d2
2019-10-02 06:21:16+00:00,view,4000128,2053013566142809077,construction.tools.generator,philips,84.92,549298886.0,f14725ad-39db-462a-b0df-995343348a99
2019-10-02 12:48:28+00:00,view,1004659,2053013555631882655,electronics.smartphone,samsung,769.36,541025354.0,67be3aa5-5e81-400d-98a2-cac7b5180ab9
2019-10-01 07:05:01+00:00,view,26203569,2053013563693335403,,sokolov,13.77,546836652.0,d1c3e21b-2205-4d3a-aa37-0d070583de13
2019-10-03 14:53:26+00:00,view,4804295,2053013554658804075,electronics.audio.headphone,xiaomi,22.37,525218050.0,1d0218f9-afcb-4ff9-9fb5-a6172ee4bb82
2019-10-03 16:31:49+00:00,view,7600331,2053013552821698803,,d-link,43.09,533944964.0,b4a0528b-5e84-4ac5-9917-526b52c2e899
2019-10-03 03:21:24+00:00,view,1002544,2053013555631882655,electronics.smartphone,apple,462.56,556219646.0,3e9768a6-3562-425e-8c49-ec146b5a8dec
2019-10-01 06:05:19+00:00,purchase,1801881,2053013554415534427,electronics.video.tv,samsung,506.29,521007017.0,e90afec7-403c-4eb1-a19d-583d28fc1328
2019-10-01 14:12:52+00:00,view,44500007,2144356630513320518,,omabelle,1673.14,515656374.0,78da17a9-1033-4e0c-9ce2-487b67534c05
2019-10-03 16:45:22+00:00,view,12702956,2053013553559896355,,nokian,49.94,526713747.0,cc935b16-5b1e-4e15-874e-220d89b2021b
2019-10-01 06:40:33+00:00,view,5000356,2053013566100866035,appliances.sewing_machine,janome,167.03,550725953.0,6e3967f6-b251-44e5-96ea-74d52dd03697
2019-10-03 11:19:47+00:00,view,1004246,2053013555631882655,electronics.smartphone,apple,731.08,522568126.0,b144d016-5963-449e-a6e2-e4cabe83b887
2019-10-01 09:17:00+00:00,view,1004767,2053013555631882655,electronics.smartphone,samsung,254.26,513166055.0,06bcabc3-7cf2-4122-abac-a44d82b5b4ec
